soc,ocv_V,source,model,export_method
0.79,4.032590895030777,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.795,4.0373632442367535,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.8,4.042078696473576,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.805,4.0467153356610455,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.81,4.051249673323618,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.8150000000000001,4.05565703540056,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.8200000000000001,4.0599120556377635,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.8250000000000001,4.063989284698008,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.8300000000000001,4.067863919236898,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.835,4.071512648751831,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.84,4.074914609981116,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.845,4.078052429136407,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.85,4.080913321628858,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.855,4.083490207785091,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.86,4.085782792191312,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.865,4.087798544844439,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.87,4.089553515503922,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.875,4.091072909863305,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.88,4.092391358639542,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.885,4.093552819349417,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.89,4.094610065835357,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.895,4.095623742242114,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.9,4.09666098503703,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.905,4.097793646877645,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.91,4.099096187017695,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.915,4.100643321419283,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.92,4.102507548644161,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.925,4.104756682157203,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.93,4.10745152391294,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.935,4.110643807181093,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.9400000000000001,4.1143745189690275,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.9450000000000001,4.118672685857709,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.9500000000000001,4.123554674348625,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.9550000000000001,4.129024021313253,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.96,4.135071775385023,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.965,4.14167729934187,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.97,4.148809459192223,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.975,4.156428109330711,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.98,4.164485775277738,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.985,4.172929435713552,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.99,4.181702312569536,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
0.995,4.190745590174827,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
1.0,4.199999999999997,Chen2020,SPM,pybamm_model_initial_soc_rest_voltage
